lemma	translation	rel	p-value
تَعبِير	expression	rep	0.188
تَفَاهُم	mutual_understanding,mutual_comprehension	rep	0.188
رَأسمَال	capital	rep	0.188
فِيلم	film,movie	rep	0.188
مِحوَر	axis,axle,pivot	rep	0.188
مُستَورِد	importer	rep	0.188
مُحَادَثَة	discussion,talk,negotiation	rep	0.189
أَمِين	Amin;secretary,trustees	rep	0.19
خِطَاب	speech	rep	0.195
حَاجَة	need,thing,belongings,necessities	rep	0.197
مُنَافَسَة	competition,rivalry	rep	0.197
رَغبَة	desire,wish	rep	0.199
تَاجِر	merchant,businessman	rep	0.2
مُبَارَاة	match,game,competition	rep	0.22
سَفِينَة	ship,vessel	rep	0.23
فَضل	distinction,quality,good_graces,goodwill,merits,favors	rep	0.23
خِبرَة	experience,expertise	rep	0.232
عُمر	age,life,age_group	rep	0.232
مَزِيَّة	feature,advantage	rep	0.232
مُسَاهَمَة	participation,contribution	rep	0.232
شَكل	manner,form,configuration,type	rep	0.249
تَدَخُّل	intervention,interference	rep	0.258
تَركِيز	emphasis,focus,concentration,installation	rep	0.269
جِنسِيَّة	nationality,citizenship	rep	0.269
دَم	blood	rep	0.27
أَصل	origin,root,principle	rep	0.28
اِستِعدَاد	preparation;readiness,willingness	rep	0.28
نِسبَة	link,relation,ratio,rate	rep	0.292
مَنزِل	house,residence	rep	0.303
حُكم	judgment,decision,statutes;rule,government	rep	0.316
تَوَسُّع	expansion	rep	0.32
شَحن	transportation,shipment,freighting	rep	0.32
عَدُوّ	enemy	rep	0.32
جُمهُورِيَّة	republic	rep	0.325
صُورَة	manner,way,form;picture,image,illustration,photo,photograph	rep	0.338
اِتِّفَاق	agreement,accord,treaty	rep	0.346
تَوَقُّع	expectation,anticipation	rep	0.358
صَفقَة	deal,transaction	rep	0.358
اِعتِرَاف	acknowledgment,recognition,admission,confession	rep	0.382
تَضَامُن	solidarity,cooperation	rep	0.382
تَفكِير	thinking,meditation,reflection	rep	0.382
تَمثِيل	representation,acting,exemplification	rep	0.382
تَوَاجُد	presence	rep	0.382
جُمهُور	multitude,public,masses	rep	0.382
دَلِيل	directory,manual,guide_-_book;evidence,proof,indication	rep	0.382
رَاكِب	rider,passenger	rep	0.382
عُمُوم	generality,totality	rep	0.382
مُحَافِظَة	governor,conservative;governor,mayor	rep	0.382
مِنحَة	grant,scholarship,gift	rep	0.382
نِيَابَة	proxy,deputyship	rep	0.382
هُدُوء	calm,quiet,tranquillity	rep	0.382
وَقُود	fuel	rep	0.382
بَلَدِيَّة	municipality,township	rep	0.389
مُؤَشِّر	indicator,index,gage	rep	0.389
مُستَوطَنَة	settlement	rep	0.389
صَادِر	export	rep	0.403
مَعرِض	exhibit,exhibition,review	rep	0.405
تَدرِيب	training,coaching,practice,exercises,drills	rep	0.426
دَرَجَة	degree,class,rank,grade,level	rep	0.426
صَرف	diverting,spending	rep	0.43
تَوصِيَة	advice,recommendation	rep	0.436
فَصِيلَة	group,genus,species,family,cell,branch,platoon,squadron	rep	0.436
نَدوَة	seminar,symposium,conference	rep	0.436
دَعوَة	call,invitation,supplication	rep	0.438
مُبَادَرَة	initiative,proposal	rep	0.44
تَروِيج	furtherance,promotion,distribution,marketing	rep	0.441
جَبهَة	front,front_line	rep	0.441
مُستَشفَى	hospital	rep	0.463
مُبَاشَرَة	beginning,pursuit	rep	0.477
مَطلَب	request,demand,claim,desideratum	rep	0.477
خَطَر	danger	rep	0.482
شَرِكَة	company,corporation	rep	0.5
رِبح	profit,interest,dividends,revenues	rep	0.511
وَارِدَات	imports,returns	rep	0.529
مِلكِيَّة	property,ownership	rep	0.536
مَندُوب	delegate,representative,deputy,agent	rep	0.536
وَبَاء	disease,epidemic	rep	0.536
اِنفِتَاح	opening_up,receptiveness,openness	rep	0.541
عَلَامَة	mark,sign,point	rep	0.541
تَجرِبَة	experience,experiment	rep	0.563
مُستَقبَل	future	rep	0.568
كَمِّيَّة	quantity,amount	rep	0.583
تَكَامُل	integration,merger	rep	0.585
لَيلَة	night,evening,soirees	rep	0.585
مَكتَبَة	library,bookstore	rep	0.585
أَولَوِيَّة	priority,precedence	rep	0.589
اِلتِهَاب	inflammation	rep	0.589
كَلَام	speech,statement,remark,talk,saying	rep	0.589
مَسؤُولِيَّة	responsibility	rep	0.6
خَلِيج	gulf	rep	0.601
سِيَاحَة	tourism	rep	0.601
سِيَاسَة	policy;politics	rep	0.608
مَكَان	place,location,position	rep	0.617
مَورِد	source,resource	rep	0.617
صِنَاعَة	manufacture,industry,trade,craft	rep	0.621
جَوّ	climate,atmosphere,air	rep	0.622
مُدَرِّب	trainer,coach,instructor	rep	0.622
إِسترَاتِيجِيَّة	strategy	rep	0.625
رُؤيَة	vision,sight,view,opinion,viewing	rep	0.625
قَصف	bombardment,shelling	rep	0.625
مُنتَخَب	national_team,anthology	rep	0.631
نَشَاط	activity,active	rep	0.639
لُغَة	language	rep	0.65
قَاعِدَة	base;rule,principle,basis,precepts	rep	0.673
اِقتِرَاح	proposal,suggestion	rep	0.692
عِلَاج	medical_treatment,therapy,processing	rep	0.692
طَرِيق	road,way	rep	0.693
أَمَانَة	secretariat	rep	0.74
إِجَازَة	vacation,leave,holiday,permit,license	rep	0.74
شُورَى	consultation,deliberation,Shoura,Shura	rep	0.74
لَقَب	title,nickname	rep	0.74
لَهجَة	tone,dialect	rep	0.74
مُدَرِّس	teacher,instructor,lecturer	rep	0.74
مَسَار	path,route	rep	0.74
وَعد	promise	rep	0.74
أَسِير	prisoner,captive	rep	0.742
حُبّ	love,affection	rep	0.742
زَعَامَة	leadership,leaders	rep	0.742
شَهِيد	martyr	rep	0.742
طِبّ	medicine,medical_treatment	rep	0.742
كُردِيّ	Kurdish,Kurds	rep	0.742
مِرفَق	convenience,amenity,facility	rep	0.742
مُوَاصَفَة	prescription,directions	rep	0.742
تَعرِيف	identification,notification	rep	0.773
شَكوَى	complaint,grievance	rep	0.773
طَبع	natural_course,temperament;printing	rep	0.773
مُعَسكَر	camp,encampment	rep	0.773
اِرتِبَاط	connection,link,cohesion	rep	0.775
اِستِجَابَة	compliance,replying	rep	0.775
تَكلِيف	charging,commissioning;cost,expense,charge	rep	0.775
جَنَاح	wing,flank	rep	0.775
اِحتِلَال	occupation	rep	0.782
اِنتِخَاب	election,selection	rep	0.793
نَصّ	text	rep	0.796
تَعوِيض	compensation,restitution,reparations,substitutes	rep	0.798
حَافِز	incentive,stimulus	rep	0.798
مَبنَى	building,structure	rep	0.798
بَعثَة	delegation,mission	rep	0.814
خُرُوج	exit,getting_out,departure,deviation	rep	0.814
صُعُود	ascent,rising	rep	0.815
مُعَدَّات	equipment,material	rep	0.815
خِيَار	option,choice,selection	rep	0.827
عَين	ain_(_Arabic_letter_);eye;water_spring,water_source	rep	0.827
مُوَظَّف	employee	rep	0.827
إِحصَاء	calculation,statistics	rep	0.829
بَحث	discussion;search,examination,research	rep	0.846
اِعتِمَاد	reliance,dependence,recognition	rep	0.855
نُقطَة	point,location,position	rep	0.867
اِنفِجَار	explosion,detonation	rep	0.873
خِلَاف	dispute,controversy,conflict	rep	0.877
دَورَة	championship,tournament;cycle,turn,rotation,revolution;patrol,session,tour	rep	0.877
جَانِب	side,aspect	rep	1
مَوقِف	position	rep	1
رِسَالَة	letter,communication,dissertation,messages	rep	1
تَخصِيص	designation,allocation,apportionment	rep	1
بَاب	door,gate	rep	1
تَنسِيق	coordination,steering,systematic_arrangement	rep	1
مَطَار	airport,airfield	rep	1
بُعد	dimension,distance	rep	1
عَائِد	revenue,profit,royalty	rep	1
سِيَادَة	sovereignty,supremacy,Excellency	rep	1
صِفَة	attribute,characteristic,feature	rep	1
وَفَاة	death	rep	1
مُحَافَظَة	province,governorate	rep	1
مُنتِج	manufacturer,maker,producer	rep	1
تَقدِير	estimate,calculation,appreciation,appraisal,gratitude	rep	1
ثَورَة	revolution,uprising	rep	1
جَودَة	excellence,high_quality	rep	1
حَقِيقَة	truth,reality,facts	rep	1
رِعَايَة	custody,protection,sponsorship	rep	1
وَرَق	leaf,sheet,paper	rep	1
اِغتِيَال	assassination,murder	rep	1
اِنطِلَاق	departure,release	rep	1
تَحلِيل	analysis,dissolution	rep	1
تَدرِيس	teaching,instruction,faculty	rep	1
تَصعِيد	escalation,intensification	rep	1
تَوقِيت	time_standard	rep	1
غَرَض	goal,purpose,objective	rep	1
فَرع	branch,section,subdivision	rep	1
فَصل	discharge,dismissal,detaching,cutting_off;section,chapter,season	rep	1
مَوسِم	season,festival	rep	1
أَب	father,ancestor,parent	rep	1
تَفجِير	blowing_up,exploding,detonating	rep	1
حِلف	treaty,alliance,pact	rep	1
خِزَانَة	treasury,vault,coffer,lockers	rep	1
سِكَّة	road	rep	1
شَمس	sun	rep	1
عِبء	load,burden	rep	1
عَصر	age,period,epoch	rep	1
كَبسُولَة	capsule	rep	1
مَبِيعَات	sales	rep	1
مَخزَن	storehouse,depot,shop	rep	1
مَرفَأ	port,harbor,landing_place	rep	1
مِعيَار	criterion,standard,gauge,measure	rep	1
مُقَاتِل	combatant,warrior	rep	1
مِيزَانِيَّة	budget,balance	rep	1
أَجر	wage,fee	rep	1
أُمّ	mother	rep	1
اِطِّلَاع	examination,inspection,knowledge	rep	1
اِكتِشَاف	discovery	rep	1
اِنتِصَار	victory	rep	1
تَأيِيد	support,approval,assistance	rep	1
تَصَرُّف	behavior,conduct,disposal	rep	1
تَصمِيم	determination,perseverance	rep	1
تَوَافُق	agreement,conformity	rep	1
حَارِس	vigilant,sentry,guard,keeper,goal_-_keeper,guardian	rep	1
حَفر	digging,drilling,excavating	rep	1
حَوزَة	possession,territory	rep	1
زَمَن	time,period,duration	rep	1
سَرِقَة	stealing,theft,heist	rep	1
سَير	course,motion,march	rep	1
شِعَار	slogan,motto	rep	1
شَفَّافِيَّة	translucence,transparency	rep	1
صَدَّام	Saddam	rep	1
صَلَاحِيَّة	practicability,viability,competence	rep	1
ضَاحِيَة	suburb,vicinity,outskirts	rep	1
طِرَاز	model,type,calibre	rep	1
عَزل	removal,dismissal	rep	1
فَاعِلِيَّة	activity,effectiveness	rep	1
فِقدَان	loss,bereavement	rep	1
قِتَال	fighting,combat,struggle	rep	1
مُحَاسَبَة	accounting,examination	rep	1
مُحَقِّق	investigator,editor	rep	1
مِصدَاقِيَّة	credibility	rep	1
مُفَوَّض	commissioner,delegate,authorized_agent	rep	1
نَظرَة	look,glance,view	rep	1
هَزِيمَة	defeat	rep	1
